"ClientAddress";"ClientID";"ClientName";"ClientStatus";"DayOfBirth";"Gender"
город Москва, 1-й Автозаводский проезд, дом 2;P6RS7;Копьев Василий Владимирович;Базовый;1990-07-09;Мужчина
город Москва, 1-й Автозаводский проезд, дом 2;fqWHo;Зеленов Юрий Владимирович;Золотой;1987-06-14;Мужчина
город Москва, 1-й Амбулаторный проезд, дом 8, строение 2;LHywN;Васильев Александр Михайлович;Базовый;1976-04-19;Мужчина
город Москва, 1-й Басманный переулок, дом 6;FzRl0;Старов Вадим Николаевич;Базовый;1992-04-08;Мужчина
город Москва, 1-й Басманный переулок, дом 6;f0CJm;Ямпольская Елена Александровна;Серебряный;1973-03-31;Женщина
город Москва, 1-й Ботанический проезд, дом 2;ipJYw;Третьяк Владислав Александрович;Серебряный;1976-12-23;Мужчина
город Москва, 1-й Боткинский проезд, дом 4, корпус 2;KBCBc;Панько Кирилл Игоревич;Базовый;1986-10-11;Мужчина
город Москва, 1-й Боткинский проезд, дом 7А;Qx6lP;Тюриков Сергей Александрович;Базовый;1976-09-01;Мужчина
город Москва, 1-й Боткинский проезд, дом 7А;bHaVH;Покрашенко Светлана Ивановна;Базовый;1976-01-06;Женщина
город Москва, 1-й Зборовский переулок, дом 3;1yHEJ;Гришин Александр Алексеевич;Базовый;1987-06-12;Мужчина
город Москва, 1-й Зборовский переулок, дом 3;AQVQk;Шалыгин Сергей Валерьевич;Золотой;1990-10-01;Мужчина
город Москва, 1-й Казачий переулок, дом 10, строение 1;vgFkj;Кудрявцев Юрий Петрович;Базовый;1970-05-17;Мужчина
город Москва, 1-й Кожевнический переулок, дом 5, корпус 1;v1Zaa;Гусенков Алексей Иванович;Базовый;1989-08-06;Мужчина
город Москва, 1-й Кожевнический переулок, дом 5, корпус 1;vdGmM;Сафьянов Виктор Владимирович;Базовый;1975-01-31;Мужчина
город Москва, 1-й Колобовский переулок, дом 27/3, строение 1;7hkf3;Бураков Леонид Васильевич;Базовый;1976-06-07;Мужчина
город Москва, 1-й Колобовский переулок, дом 27/3, строение 1;lsfHS;Платонов Николай Владимирович;Серебряный;1994-05-24;Мужчина
город Москва, 1-й Котельнический переулок, дом 5;mWcPQ;Цыренов Баир Цыденович;Золотой;1988-05-08;Мужчина
город Москва, 1-й Котельнический переулок, дом 5, строение 1;AS4Pb;Ковалев Алексей Анатольевич;Базовый;1992-09-12;Мужчина
город Москва, 1-й Котельнический переулок, дом 5, строение 2;JI7MP;Шитуев Валерий Анатольевич;Базовый;1971-08-12;Мужчина
город Москва, 1-й Котельнический переулок, дом 5, строение 2;NTrAI;Иофе Лев Маркович;Базовый;1970-09-29;Мужчина
город Москва, 1-й Красковский проезд, дом 38Б, строение 3;gjZWT;Чернявская Ольга Валерьевна;Базовый;1984-01-01;Женщина
город Москва, 1-й Красногвардейский проезд, дом 9А;jDRlq;Кнырик Константин Сергеевич;Базовый;1986-05-18;Мужчина
город Москва, 1-й Курьяновский проезд, дом 14;6gpdU;Ледков Григорий Петрович;Базовый;1979-09-09;Мужчина
город Москва, 1-й Курьяновский проезд, дом 14;tigoj;Кунгурцев Алексей Александрович;Серебряный;1994-05-04;Мужчина
город Москва, 1-й Митинский переулок, домовладение 21;kjek7;Потанин Владислав Владимирович;Базовый;1985-08-29;Мужчина
город Москва, 1-й Митинский переулок, домовладение 21;x78DV;Тимошкова Галина Анатольевна;Базовый;1987-05-30;Женщина
город Москва, 1-й Нагатинский проезд, дом 16;QnaIf;Астахов Павел Владимирович;Базовый;1974-03-24;Мужчина
город Москва, 1-й Новый переулок, дом 9;1fLHT;Пятницкий Павел Игоревич;Базовый;1995-07-16;Мужчина
город Москва, 1-й Новый переулок, дом 9;31R9B;Вакорин Николай Валерьевич;Базовый;1989-07-26;Мужчина
город Москва, 1-й Новый переулок, дом 9;Jxrs5;Гусев Антон Владимирович;Серебряный;1977-03-22;Мужчина
город Москва, 1-й Новый переулок, дом 9;TJSXS;Тяпкова Ирина Владимировна;Базовый;1980-01-10;Женщина
город Москва, 1-й Новый переулок, дом 9;fzcRC;Дубовой Юрий Сергеевич;Базовый;1991-01-27;Мужчина
город Москва, 1-й Павловский переулок, дом 7;4RA8y;Гамза Геннадий Ефимович;Базовый;1975-01-05;Мужчина
город Москва, 1-й Пехотный переулок, дом 4;eNyvF;Кулишов Дмитрий Владимирович;Базовый;1988-12-30;Мужчина
город Москва, 1-й Саратовский проезд, дом 3А;4A9ee;Кийко Игорь Александрович;Базовый;1985-08-15;Мужчина
город Москва, 1-й Силикатный проезд, дом 27;15r5v;Серебряков Владимир Михайлович;Базовый;1977-01-27;Мужчина
город Москва, 1-й Силикатный проезд, дом 27, строение 9;4IJux;Герман Александр Петрович;Базовый;1978-10-08;Мужчина
город Москва, 1-й Силикатный проезд, дом 27, строение 9;HN615;Замараева Анна Сергеевна;Серебряный;1995-01-17;Женщина
город Москва, 1-й Силикатный проезд, дом 27, строение 9;IIm31;Кузнецов Михаил Сергеевич;Базовый;1994-01-04;Мужчина
город Москва, 1-й Силикатный проезд, дом 27, строение 9;Mlwwp;Степченков Александр Петрович;Базовый;1971-09-09;Мужчина
город Москва, 1-й Стрелецкий проезд, дом 5;qPSrw;Антонов Георгий Антонович;Базовый;1979-12-20;Мужчина
